"Place","Acronym","CountryCode","Year","Variable","Indicator","Value","Country","Population","lat","long","Capital"
"Nice","FR205C2","FR",2017,"Number of cinema seats (total capacity)","CR1003V",13865,"France",337891,43.7,7.27,0
"Nice","FR205C2","FR",2017,"Number of public swimming pools (indoor and outdoor, excluding beaches)","CR1015V",23,"France",337891,43.7,7.27,0
"Paris","FR001C1","FR",2017,"Total nights spent in tourist accommodation establishments","CR2001V",15932230,"France",2141839,48.86,2.34,1
"Paris","FR001C1","FR",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",310782,"France",2141839,48.86,2.34,1
"Paris","FR001C1","FR",2017,"Number of cinema seats (total capacity)","CR1003V",194761,"France",2141839,48.86,2.34,1
"Paris","FR001C1","FR",2017,"Number of theatres","CR1008V",326,"France",2141839,48.86,2.34,1
"Paris","FR001C1","FR",2017,"Number of public swimming pools (indoor and outdoor, excluding beaches)","CR1015V",319,"France",2141839,48.86,2.34,1
"Ploiesti","RO505C1","RO",2017,"Number of public libraries (all distribution points)","CR1010V",60,"Romania",227468,44.94,26.03,0
"Puerto de la Cruz","ES550C1","ES",2017,"Number of available beds per 1000 residents","CR2010I",713.9,"Canary Islands",29462,28.4,-16.54,0
"Puerto de la Cruz","ES550C1","ES",2017,"Total nights spent in tourist accommodation establishments per resident population","CR2011I",195.7,"Canary Islands",29462,28.4,-16.54,0
"Pula","HR006C1","HR",2017,"Number of available beds per 1000 residents","CR2010I",509.9,"Croatia",59194,44.88,13.84,0
"Pula","HR006C1","HR",2017,"Total nights spent in tourist accommodation establishments per resident population","CR2011I",33.3,"Croatia",59194,44.88,13.84,0
"Rimini","IT508C1","IT",2017,"Number of available beds per 1000 residents","CR2010I",503.9,"Italy",137582,44.06,12.57,0
"Rimini","IT508C1","IT",2017,"Total nights spent in tourist accommodation establishments per resident population","CR2011I",49.5,"Italy",137582,44.06,12.57,0
"Rimini","IT508C1","IT",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",75028,"Italy",137582,44.06,12.57,0
"Roma","IT001C1","IT",2017,"Total nights spent in tourist accommodation establishments","CR2001V",26944569,"Australia",5471,-26.57,148.78,0
"Roma","IT001C1","IT",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",214214,"Australia",5471,-26.57,148.78,0
"Rouen","FR215C2","FR",2017,"Number of cinema seats (total capacity)","CR1003V",11232,"France",113508,49.44,1.08,0
"Stockholm","SE001C1","SE",2017,"Number of available beds per 1000 residents","CR2010I",541.2,"Sweden",1260712,59.33,18.07,1
"Stockholm","SE001C1","SE",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",506375,"Sweden",1260712,59.33,18.07,1
"Stockholm","SE001C1","SE",2017,"Number of cinema seats (total capacity)","CR1003V",11883,"Sweden",1260712,59.33,18.07,1
"Tallinn","EE001C1","EE",2017,"Number of public swimming pools (indoor and outdoor, excluding beaches)","CR1015V",20,"Estonia",392386,59.44,24.74,1
"Timisoara","RO003C1","RO",2017,"Number of public libraries (all distribution points)","CR1010V",82,"Romania",313980,45.76,21.23,0
"Torremolinos","ES068C1","ES",2017,"Number of available beds per 1000 residents","CR2010I",378.8,"Spain",56811,36.63,-4.51,0
"Torremolinos","ES068C1","ES",2017,"Total nights spent in tourist accommodation establishments per resident population","CR2011I",82.4,"Spain",56811,36.63,-4.51,0
"Toulouse","FR004C2","FR",2017,"Number of public swimming pools (indoor and outdoor, excluding beaches)","CR1015V",26,"France",439228,43.62,1.45,0
"Umea","SE005C1","SE",2017,"Number of available beds per 1000 residents","CR2010I",370.9,"Sweden",74613,63.83,20.24,0
"Venice","IT011C1","IT",2017,"Total nights spent in tourist accommodation establishments per resident population","CR2011I",44.6,"Italy",270277,45.43,12.33,0
"Venice","IT011C1","IT",2017,"Total nights spent in tourist accommodation establishments","CR2001V",11685819,"Italy",270277,45.43,12.33,0
"Vilnius","LT001C1","LT",2017,"Number of theatres","CR1008V",25,"Lithuania",542014,54.7,25.27,1
"Zagreb","HR001C1","HR",2017,"Number of theatres","CR1008V",90,"Croatia",700717,45.8,15.97,1
"Zagreb","HR001C1","HR",2017,"Number of public swimming pools (indoor and outdoor, excluding beaches)","CR1015V",22,"Croatia",700717,45.8,15.97,1
