Place,Acronym,CountryCode,Year,Variable,Indicator,Value
Puerto de la Cruz,ES550C1,ES,2017,Number of available beds per 1000 residents,CR2010I,713.9
Puerto de la Cruz,ES550C1,ES,2017,Total nights spent in tourist accommodation establishments per resident population,CR2011I,195.7
Pula,HR006C1,HR,2017,Number of available beds per 1000 residents,CR2010I,509.9
Pula ,HR006C1,HR,2017,Total nights spent in tourist accommodation establishments per resident population,CR2011I,33.3
Rimini,IT508C1,IT,2017,Number of available beds per 1000 residents,CR2010I,503.9
Rimini,IT508C1,IT,2017,Total nights spent in tourist accommodation establishments per resident population,CR2011I,49.5
Rimini,IT508C1,IT,2017,Number of bed-places in tourist accommodation establishments,CR2009V,75028
Roma,IT001C1,IT,2017,Total nights spent in tourist accommodation establishments,CR2001V,26944569
Roma,IT001C1,IT,2017,Number of bed-places in tourist accommodation establishments,CR2009V,214214
Rouen,FR215C2,FR,2017,Number of cinema seats (total capacity),CR1003V,11232
Stockholm,SE001C1,SE,2017,Number of available beds per 1000 residents,CR2010I,541.2
Stockholm,SE001C1,SE,2017,Number of bed-places in tourist accommodation establishments,CR2009V,506375
Stockholm,SE001C1,SE,2017,Number of cinema seats (total capacity),CR1003V,11883
Tallinn,EE001C1,EE,2017,"Number of public swimming pools (indoor and outdoor, excluding beaches)",CR1015V,20
Timisoara,RO003C1,RO,2017,Number of public libraries (all distribution points),CR1010V,82
Torremolinos,ES068C1,ES,2017,Number of available beds per 1000 residents,CR2010I,378.8
Torremolinos,ES068C1,ES,2017,Total nights spent in tourist accommodation establishments per resident population,CR2011I,82.4
Toulouse,FR004C2,FR,2017,"Number of public swimming pools (indoor and outdoor, excluding beaches)",CR1015V,26
Umea,SE005C1,SE,2017,Number of available beds per 1000 residents,CR2010I,370.9
Venice,IT011C1,IT,2017,Total nights spent in tourist accommodation establishments per resident population,CR2011I,44.6
Venice,IT011C1,IT,2017,Total nights spent in tourist accommodation establishments,CR2001V,11685819
Vilnius,LT001C1,LT,2017,Number of theatres,CR1008V,25
Zagreb,HR001C1,HR,2017,Number of theatres,CR1008V,90
Zagreb,HR001C1,HR,2017,"Number of public swimming pools (indoor and outdoor, excluding beaches)",CR1015V,22
